Electoral_Dist,Year,Poll_Div,Poll_Station,Poll_Road,Poll_Location ,Census_Poll_Location,PNM,UNC,COP,TOP,STAR,NNV,John_IND,Rejected_Ballots,Tot_Ballots_Cast,Registered_Voters
Arouca/Maloney ,2010,1817_01,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,182,0,31,0,0,0,2,1,216,694
Arouca/Maloney ,2010,1817_02,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,173,0,53,0,0,0,1,0,227,
Arouca/Maloney ,2010,1818_01,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,252,0,67,0,0,0,4,1,324,1100
Arouca/Maloney ,2010,1818_02,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,276,0,70,0,0,0,4,2,352,
Arouca/Maloney ,2010,1819_01,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,302,0,62,0,0,0,1,2,367,1223
Arouca/Maloney ,2010,1819_02,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,373,0,79,0,0,0,3,3,458,
Arouca/Maloney ,2010,1820_01,AROUCA ST. ADIANS ANGLICAN PRIMARY SCHOOL,LP 487 EASTERN MAIN ROAD ,AROUCA ,AROUCA ,144,0,125,0,0,0,3,0,272,773
Arouca/Maloney ,2010,1820_02,AROUCA ST. ADIANS ANGLICAN PRIMARY SCHOOL,LP 487 EASTERN MAIN ROAD ,AROUCA ,AROUCA ,120,0,125,0,0,0,3,3,251,
Arouca/Maloney ,2010,1821,BON AIR HIGH SCHOOL ,BON AIR GARDENS ,AROUCA ,AROUCA ,138,0,41,0,0,0,3,0,182,329
Arouca/Maloney ,2010,1825_01,AROUCA GOVERNMENT PRIMARY SCHOOL ,LP 3 GOLDEN GROVE ROAD ,AROUCA ,AROUCA ,123,0,178,0,0,0,3,0,304,886
Arouca/Maloney ,2010,1825_02,AROUCA GOVERNMENT PRIMARY SCHOOL ,LP 3 GOLDEN GROVE ROAD ,AROUCA ,AROUCA ,132,0,190,0,0,0,0,3,325,
Arouca/Maloney ,2010,1830,AROUCA GOVERNMENT PRIMARY SCHOOL ,LP 3 GOLDEN GROVE ROAD ,AROUCA ,AROUCA ,491,0,345,0,0,0,9,0,845,605
Arouca/Maloney ,2010,1833,AROUCA GOVERNMENT PRIMARY SCHOOL ,LP 3 GOLDEN GROVE ROAD ,AROUCA ,AROUCA ,262,0,203,0,0,0,5,1,471,651
Diego Martin West,2010,4200,Avocat Vedic School,,Avocat,AVOCAT,148,0,117,0,,,,,,
Diego Martin West,2010,4201,Avocat Vedic School,,Avocat,AVOCAT,242,0,95,0,,,,,,
Fyzabad,2010,4390,Avocat Vedic School,,Avocat,AVOCAT,82,190,0,0,,,,,,
Fyzabad,2010,4391,Avocat Vedic School,,Avocat,AVOCAT,96,182,0,0,,,,,,
Fyzabad,2010,4420,Avocat Vedic School,,Avocat,AVOCAT,158,131,0,0,,,,,,
Couva South ,2010,3091,BALMAIN COMMUNITY CENTER ,COUVA MAIN ROAD ,BALMAIN ,BALMAIN,60,324,0,0,0,0,0,0,384,523
Couva South ,2010,3092,BALMAIN COMMUNITY CENTER ,COUVA MAIN ROAD ,BALMAIN ,BALMAIN,242,294,0,0,0,0,0,1,537,216
St. Augustine,2010,,Bamboo Settlement Government Primary School,,Bamboo Settlement No. 2,BAMBOO GROVE,24,0,417,0,,,,,,
St. Augustine,2010,,Bamboo Settlement Government Primary School,,Bamboo Settlement No. 2,BAMBOO GROVE,7,0,393,0,,,,,,
St. Augustine,2010,,Bamboo Settlement Government Primary School,,Bamboo Settlement No. 2,BAMBOO GROVE,15,0,592,0,,,,,,
St. Joseph,2010,,Bamboo Grove Presbyterian School,,Mt. Lambert,BAMBOO GROVE,17,551,0,0,,,,,,
Barataria/San Juan,2010,1320,HARMONITES PAN THEATRE ,CHURCHHILL ROOSEVELT HIGHWAY,BARATARIA,BARATARIA,209,173,0,0,0,0,0,2,384,591
Barataria/San Juan,2010,1335_01,BARATARIA SOUTH SECONDARY SCHOOL ,3RD AVENUE EXTENSION ,BARATARIA,BARATARIA,188,58,0,0,0,0,0,0,246,710
Barataria/San Juan,2010,1335_02,BARATARIA SOUTH SECONDARY SCHOOL ,3RD AVENUE EXTENSION ,BARATARIA,BARATARIA,125,122,0,0,0,0,0,0,247,
Barataria/San Juan,2010,1336_01,BARATARIA SOUTH SECONDARY SCHOOL ,3RD AVENUE EXTENSION ,BARATARIA,BARATARIA,125,187,0,0,0,0,0,1,313,932
Barataria/San Juan,2010,1336_02,BARATARIA SOUTH SECONDARY SCHOOL ,3RD AVENUE EXTENSION ,BARATARIA,BARATARIA,78,285,0,0,0,0,0,1,364,
Barataria/San Juan,2010,1337,BARATARIA SOUTH SECONDARY SCHOOL ,3RD AVENUE EXTENSION ,BARATARIA,BARATARIA,208,121,0,0,0,0,0,2,331,489
Barataria/San Juan,2010,1340,ST. GEORGES COLLEGE,10TH ST,BARATARIA,BARATARIA,97,301,0,0,0,0,0,1,399,560
Barataria/San Juan,2010,1345,BARATARIA ANGLICAN PRIMARY SCHOOL ,6TH AVE & 8TH ST,BARATARIA,BARATARIA,141,122,0,0,0,0,0,2,265,412
Barataria/San Juan,2010,1350,BARATARIA ANGLICAN PRIMARY SCHOOL ,6TH AVE & 8TH ST,BARATARIA,BARATARIA,115,100,0,0,0,0,0,0,215,341
Barataria/San Juan,2010,1355,BARATARIA ANGLICAN PRIMARY SCHOOL ,6TH AVE & 8TH ST,BARATARIA,BARATARIA,311,130,0,0,0,0,0,5,446,269
Barataria/San Juan,2010,1360_01,BARATARIA ANGLICAN PRIMARY SCHOOL ,6TH AVE & 8TH ST,BARATARIA,BARATARIA,150,125,0,0,0,0,0,2,277,727
Barataria/San Juan,2010,1360_02,BARATARIA ANGLICAN PRIMARY SCHOOL ,6TH AVE & 8TH ST,BARATARIA,BARATARIA,123,97,0,0,0,0,0,2,222,
Barataria/San Juan,2010,1365,ST. GEORGES COLLEGE,10TH ST,BARATARIA,BARATARIA,204,150,0,0,0,0,0,0,354,542
Barataria/San Juan,2010,1370,BARATARIA SOUTH SECONDARY SCHOOL ,3RD AVENUE EXTENSION ,BARATARIA,BARATARIA,184,143,0,0,0,0,0,3,330,485
Barataria/San Juan,2010,1375,BARATARIA NORTH SECONDARY SCHOOL ,6TH AVENUE EXTENSION ,BARATARIA,BARATARIA,124,112,0,0,0,0,0,0,236,403
Barataria/San Juan,2010,1380,BARATARIA NORTH SECONDARY SCHOOL ,6TH AVENUE EXTENSION ,BARATARIA,BARATARIA,82,116,0,0,0,0,0,0,198,321
Mortuga/Tableland,2010,,Kanhai Presbyterian School,,Barrackpore,BARRACKPORE,2,489,0,0,,,,,,
Mortuga/Tableland,2010,,Kanhai Presbyterian School,,Barrackpore,BARRACKPORE,7,370,0,0,,,,,,
Mortuga/Tableland,2010,,Kanhai Presbyterian School,,Barrackpore,BARRACKPORE,7,524,0,0,,,,,,
Mortuga/Tableland,2010,,Rochard Douglas Presbyterian School,,Barrackpore,BARRACKPORE,25,237,0,0,,,,,,
Mortuga/Tableland,2010,,Rochard Douglas Presbyterian School,,Barrackpore,BARRACKPORE,32,330,0,0,,,,,,
Mortuga/Tableland,2010,,Cowen Hamilton Secondary School,,Barrackpore,BARRACKPORE,241,150,0,0,,,,,,
Mortuga/Tableland,2010,,Cunjal Government Primary School,,Barrackpore,BARRACKPORE,72,297,0,0,,,,,,
Mortuga/Tableland,2010,,Cunjal Government Primary School,,Barrackpore,BARRACKPORE,106,265,0,0,,,,,,
Mortuga/Tableland,2010,,Rochard Douglas Presbyterian School,,Barrackpore,BARRACKPORE,2,308,0,0,,,,,,
Mortuga/Tableland,2010,,Rochard Douglas Presbyterian School,,Barrackpore,BARRACKPORE,19,397,0,0,,,,,,
Mortuga/Tableland,2010,,Rochard Douglas Presbyterian School,,Barrackpore,BARRACKPORE,3,371,0,0,,,,,,
Naparima,2010,,Barrackpore Asja Muslim School,,Barrackpore,BARRACKPORE,11,381,0,0,,,,,,
Naparima,2010,,Barrackpore Asja Muslim School,,Barrackpore,BARRACKPORE,9,240,0,0,,,,,,
Naparima,2010,,Barrackpore Asja Muslim School,,Barrackpore,BARRACKPORE,3,269,0,0,,,,,,
Naparima,2010,,Barrackpore APS Vedic School,,Barrackpore,BARRACKPORE,6,407,0,0,,,,,,
Naparima,2010,,Barrackpore APS Vedic School,,Barrackpore,BARRACKPORE,15,237,0,0,,,,,,
Naparima,2010,,Barrackpore APS Vedic School,,Barrackpore,BARRACKPORE,28,303,0,0,,,,,,
Naparima,2010,,Inverness Presbyterian School,,Upper Barrackpore,BARRACKPORE,56,261,0,0,,,,,,
Naparima,2010,,Inverness Presbyterian School,,Upper Barrackpore,BARRACKPORE,16,361,0,0,,,,,,
Naparima,2010,,Inverness Presbyterian School,,Upper Barrackpore,BARRACKPORE,26,214,0,0,,,,,,
Naparima,2010,,Inverness Presbyterian School,,Upper Barrackpore,BARRACKPORE,23,293,0,0,,,,,,
Naparima,2010,,Barrackpore West Secondary School,,Barrackpore,BARRACKPORE,2,281,0,0,,,,,,
Naparima,2010,,Barrackpore West Secondary School,,Barrackpore,BARRACKPORE,3,274,0,0,,,,,,
Oropouche East,2010,,Barrackpore West Secondary School,,Barrackpore,BARRACKPORE,26,353,0,0,,,,,,
Oropouche East,2010,,Barrackpore West Secondary School,,Barrackpore,BARRACKPORE,13,385,0,0,,,,,,
Oropouche East,2010,,Barrackpore West Secondary School,,Barrackpore,BARRACKPORE,17,405,0,0,,,,,,
Oropouche East,2010,,Barrackpore West Secondary School,,Barrackpore,BARRACKPORE,9,347,0,0,,,,,,
Oropouche East,2010,,Barrackpore West Secondary School,,Barrackpore,BARRACKPORE,4,251,0,0,,,,,,
Oropouche East,2010,,Barrackpore West Secondary School,,Barrackpore,BARRACKPORE,8,291,0,0,,,,,,
Laventille West,2010,,Excel Composite School,,Beetham,BEETHAM,255,0,69,0,,,,,,
Laventille West,2010,,Excel Composite School,,Beetham,BEETHAM,301,0,55,0,,,,,,
Laventille West,2010,,Excel Composite School,,Beetham,BEETHAM,184,0,74,0,,,,,,
Tobago East,2010,,St. Edwards Anglican Primary School,,Belle Garden,BELLE GARDEN,138,0,0,282,,,,,,
