comm,Census_Poll_Location,community_orignial,male,female,total,African,Caucasian,Chinese,East Indian,Indigenous,Mixed_African_ East_Indian,Mixed _Other,Portuguese,Syrian_Lebanese,other_ethnic_ group,not_stated_ethncity,unknown_ethnicity ,ANGLICAN,BAPTIST _SPIRITUAL_SHOUTER _BAPTIST,BAPTIST ,HINDUISM,ISLAM,JEHOVAHS_WITNESS,METHODIST,PENTECOSTAL_EVANGELICAL_FULL GOSPEL,MORAVIAN,ORISHA,PRESBYTERIAN_CONGREGATIONAL,RASTAFARIAN,ROMAN_CATHOLIC,SEVEN_DAY_ADVENTIST,OTHER_RELIGION,NONE_RELIGION,NOT STATED_RELIGION,UNKNOWN _RELIGION
9503,CASTARA,9503 CASTARA,303.516425,276.028145,579.54457,516.550595,12.598795,0,2.29069,4.58138,5.726725,22.9069,0,0,11.45345,3.436035,579.54457,85.900875,82.46484,0,0,0,22.9069,80.17415,65.284665,8.017415,0,0,12.598795,36.65104,66.43001,28.633625,57.26725,33.215005,579.54457
3332,CAURA,3332 CAURA,804.808501,901.567656,1706.376157,678.452428,3.415029,0,412.080166,1.138343,40.980348,497.455891,0,0,1.138343,71.715609,1706.376157,120.664358,25.043546,22.76686,266.372262,27.320232,22.76686,7.968401,342.641243,2.276686,17.075145,18.213488,14.798459,439.400398,87.652411,36.426976,52.363778,202.625054,1706.376157
7303,CEDAR HILL(Couva/Tab/Tal),7303 CEDAR HILL(Couva/Tab/Tal),621.53637,613.567955,1235.104325,48.948835,0,2.27669,1021.095465,0,13.66014,45.5338,0,0,0,103.589395,1235.104325,6.83007,3.415035,1.138345,708.05059,171.890095,7.968415,15.93683,92.205945,0,0,14.798485,2.27669,28.458625,3.415035,22.7669,9.10676,146.846505,1235.104325
7204,CEDAR HILL(Princes Town),7204 CEDAR HILL(Princes Town),1042.722188,1027.923729,2070.645917,226.530257,0,1.138343,1391.055146,0,144.569561,66.023894,0,0,9.106744,232.221972,2070.645917,109.280928,60.332179,10.245087,903.844342,59.193836,1.138343,1.138343,351.747987,0,0,61.470522,0,33.011947,34.15029,110.419271,21.628517,313.044325,2070.645917
8405,CEDROS,8405 CEDROS,458.751826,390.451306,849.203132,85.37565,0,11.38342,556.649238,0,134.324356,43.256996,0,0,0,18.213472,849.203132,52.363732,0,7.968394,326.704154,46.672022,9.106736,0,114.972542,0,0,10.245078,0,137.739382,19.351814,45.53368,28.45855,50.087048,849.203132
3342,CENTENO,3342 CENTENO,84.237382,80.822353,165.059735,52.363778,1.138343,0,62.608865,0,13.660116,28.458575,0,0,0,6.830058,165.059735,7.968401,39.842005,0,10.245087,0,0,0,0,0,23.905203,0,0,33.011947,9.106744,1.138343,7.968401,31.873604,165.059735
4016,CHAGUANAS PROPER,4016 CHAGUANAS PROPER,1325.025432,1285.183602,2610.209034,570.307338,3.415014,29.596788,1259.001828,5.69169,166.197348,395.003286,1.138338,0,6.830028,173.027376,2610.209034,174.165714,88.790364,12.521718,561.200634,283.446162,30.735126,5.69169,363.129822,0,17.07507,102.45042,3.415014,537.295536,45.53352,55.778562,68.30028,260.679402,2610.209034
3102,CHAGUARAMAS,3102 CHAGUARAMAS,233.361135,27.320328,260.681463,27.320328,134.324946,2.276694,3.415041,0,0,37.565451,0,6.830082,23.905287,25.043634,260.681463,25.043634,0,0,1.138347,0,0,0,0,0,0,1.138347,0,79.68429,4.553388,1.138347,5.691735,142.293375,260.681463
3122,CHAMP ELYSEES,3122 CHAMP ELYSEES,425.741778,502.011027,927.752805,93.344454,178.720479,37.565451,144.570069,3.415041,15.936858,379.069551,17.075205,9.106776,4.553388,44.395533,927.752805,80.822637,7.968429,0,43.257186,10.245123,11.38347,4.553388,34.15041,0,0,12.521817,4.553388,626.09085,9.106776,7.968429,31.873716,43.257186,927.752805
9807,CHAMP FLEURS,9807 CHAMP FLEURS,1207.781923,1268.114102,2475.896025,1150.864773,11.38343,3.415029,465.582287,0,192.379967,511.116007,2.276686,0,4.553372,134.324474,2475.896025,265.233919,179.858194,5.691715,132.047788,58.055493,38.703662,30.735261,389.313306,0,19.351831,61.470522,6.830058,744.476322,160.506363,149.122933,54.640464,179.858194,2475.896025
